Loading dictionary
Number of tokens: 50000
Embedding size: 200
| epoch   1 |   200/302115 batches | lr 20.00 | ms/batch 129.89 | loss  7.06 | ppl  1164.23
| epoch   1 |   400/302115 batches | lr 20.00 | ms/batch 127.81 | loss  6.40 | ppl   602.62
| epoch   1 |   600/302115 batches | lr 20.00 | ms/batch 127.81 | loss  5.59 | ppl   266.56
| epoch   1 |   800/302115 batches | lr 20.00 | ms/batch 127.79 | loss  5.15 | ppl   172.65
| epoch   1 |  1000/302115 batches | lr 20.00 | ms/batch 127.82 | loss  4.86 | ppl   129.40
| epoch   1 |  1200/302115 batches | lr 20.00 | ms/batch 127.80 | loss  4.64 | ppl   103.26
| epoch   1 |  1400/302115 batches | lr 20.00 | ms/batch 127.80 | loss  4.53 | ppl    92.69
| epoch   1 |  1600/302115 batches | lr 20.00 | ms/batch 127.85 | loss  4.50 | ppl    90.04
| epoch   1 |  1800/302115 batches | lr 20.00 | ms/batch 128.03 | loss  4.31 | ppl    74.73
| epoch   1 |  2000/302115 batches | lr 20.00 | ms/batch 128.17 | loss  4.28 | ppl    72.16
| epoch   1 |  2200/302115 batches | lr 20.00 | ms/batch 128.13 | loss  4.18 | ppl    65.39
| epoch   1 |  2400/302115 batches | lr 20.00 | ms/batch 128.16 | loss  4.11 | ppl    60.92
| epoch   1 |  2600/302115 batches | lr 20.00 | ms/batch 128.15 | loss  3.86 | ppl    47.38
| epoch   1 |  2800/302115 batches | lr 20.00 | ms/batch 128.16 | loss  3.91 | ppl    49.93
| epoch   1 |  3000/302115 batches | lr 20.00 | ms/batch 128.08 | loss  4.02 | ppl    55.94
| epoch   1 |  3200/302115 batches | lr 20.00 | ms/batch 128.14 | loss  3.75 | ppl    42.58
| epoch   1 |  3400/302115 batches | lr 20.00 | ms/batch 128.20 | loss  3.93 | ppl    50.80
| epoch   1 |  3600/302115 batches | lr 20.00 | ms/batch 128.11 | loss  3.82 | ppl    45.57
| epoch   1 |  3800/302115 batches | lr 20.00 | ms/batch 128.16 | loss  3.85 | ppl    47.12
| epoch   1 |  4000/302115 batches | lr 20.00 | ms/batch 128.23 | loss  4.10 | ppl    60.16
| epoch   1 |  4200/302115 batches | lr 20.00 | ms/batch 128.13 | loss  3.98 | ppl    53.55
| epoch   1 |  4400/302115 batches | lr 20.00 | ms/batch 128.23 | loss  3.72 | ppl    41.46
